,pos1,neg1,pos2,neg2,prompt,denoise,noise,x_shift,y_shift,zoom,rotation,seed_start,seed_end,seed_str,pos_prompt,neg_prompt
72,,,,,0.52,0.4,0.1,0.0,0.0,1.0,0.0,636001086.0,,0,"Tsking faces pity them their fate., :0.52 AND Tsking faces pity them their fate., :0.48",", :0.52 AND , :0.48"
73,,,,,0.5133333333333333,0.4,0.1,0.0,0.0,1.0,0.0,636001087.0,,0,"Tsking faces pity them their fate., :0.5133333333333333 AND Tsking faces pity them their fate., :0.4866666666666667",", :0.5133333333333333 AND , :0.4866666666666667"
74,,,,,0.5066666666666666,0.4,0.1,0.0,0.0,1.0,0.0,636001088.0,,0,"Tsking faces pity them their fate., :0.5066666666666666 AND Tsking faces pity them their fate., :0.4933333333333334",", :0.5066666666666666 AND , :0.4933333333333334"
75,,,,,0.5,0.4,0.1,0.0,0.0,1.0,0.0,636001089.0,,0,"Tsking faces pity them their fate., :0.5 AND Tsking faces pity them their fate., :0.5",", :0.5 AND , :0.5"
76,,,,,0.4933333333333333,0.4,0.1,0.0,0.0,1.0,0.0,636001090.0,,0,"Tsking faces pity them their fate., :0.4933333333333333 AND Tsking faces pity them their fate., :0.5066666666666667",", :0.4933333333333333 AND , :0.5066666666666667"
77,,,,,0.4866666666666666,0.4,0.1,0.0,0.0,1.0,0.0,636001091.0,,0,"Tsking faces pity them their fate., :0.4866666666666666 AND Tsking faces pity them their fate., :0.5133333333333334",", :0.4866666666666666 AND , :0.5133333333333334"
78,,,,,0.48,0.4,0.1,0.0,0.0,1.0,0.0,636001092.0,,0,"Tsking faces pity them their fate., :0.48 AND Tsking faces pity them their fate., :0.52",", :0.48 AND , :0.52"
79,,,,,0.4733333333333333,0.4,0.1,0.0,0.0,1.0,0.0,636001093.0,,0,"Tsking faces pity them their fate., :0.4733333333333333 AND Tsking faces pity them their fate., :0.5266666666666667",", :0.4733333333333333 AND , :0.5266666666666667"
80,,,,,0.4666666666666667,0.4,0.1,0.0,0.0,1.0,0.0,636001094.0,,0,"Tsking faces pity them their fate., :0.4666666666666667 AND Tsking faces pity them their fate., :0.5333333333333333",", :0.4666666666666667 AND , :0.5333333333333333"
81,,,,,0.45999999999999996,0.4,0.1,0.0,0.0,1.0,0.0,636001095.0,,0,"Tsking faces pity them their fate., :0.45999999999999996 AND Tsking faces pity them their fate., :0.54",", :0.45999999999999996 AND , :0.54"
82,,,,,0.45333333333333325,0.4,0.1,0.0,0.0,1.0,0.0,636001096.0,,0,"Tsking faces pity them their fate., :0.45333333333333325 AND Tsking faces pity them their fate., :0.5466666666666667",", :0.45333333333333325 AND , :0.5466666666666667"
83,,,,,0.44666666666666666,0.4,0.1,0.0,0.0,1.0,0.0,636001097.0,,0,"Tsking faces pity them their fate., :0.44666666666666666 AND Tsking faces pity them their fate., :0.5533333333333333",", :0.44666666666666666 AND , :0.5533333333333333"
84,,,,,0.43999999999999995,0.4,0.1,0.0,0.0,1.0,0.0,636001098.0,,0,"Tsking faces pity them their fate., :0.43999999999999995 AND Tsking faces pity them their fate., :0.56",", :0.43999999999999995 AND , :0.56"
85,,,,,0.43333333333333335,0.4,0.1,0.0,0.0,1.0,0.0,636001099.0,,0,"Tsking faces pity them their fate., :0.43333333333333335 AND Tsking faces pity them their fate., :0.5666666666666667",", :0.43333333333333335 AND , :0.5666666666666667"
86,,,,,0.42666666666666664,0.4,0.1,0.0,0.0,1.0,0.0,636001100.0,,0,"Tsking faces pity them their fate., :0.42666666666666664 AND Tsking faces pity them their fate., :0.5733333333333334",", :0.42666666666666664 AND , :0.5733333333333334"
87,,,,,0.41999999999999993,0.4,0.1,0.0,0.0,1.0,0.0,636001101.0,,0,"Tsking faces pity them their fate., :0.41999999999999993 AND Tsking faces pity them their fate., :0.5800000000000001",", :0.41999999999999993 AND , :0.5800000000000001"
88,,,,,0.41333333333333333,0.4,0.1,0.0,0.0,1.0,0.0,636001102.0,,0,"Tsking faces pity them their fate., :0.41333333333333333 AND Tsking faces pity them their fate., :0.5866666666666667",", :0.41333333333333333 AND , :0.5866666666666667"
89,,,,,0.4066666666666666,0.4,0.1,0.0,0.0,1.0,0.0,636001103.0,,0,"Tsking faces pity them their fate., :0.4066666666666666 AND Tsking faces pity them their fate., :0.5933333333333334",", :0.4066666666666666 AND , :0.5933333333333334"
90,,,,,0.3999999999999999,0.4,0.1,0.0,0.0,1.0,0.0,636001104.0,,0,"Tsking faces pity them their fate., :0.3999999999999999 AND Tsking faces pity them their fate., :0.6000000000000001",", :0.3999999999999999 AND , :0.6000000000000001"
91,,,,,0.3933333333333333,0.4,0.1,0.0,0.0,1.0,0.0,636001105.0,,0,"Tsking faces pity them their fate., :0.3933333333333333 AND Tsking faces pity them their fate., :0.6066666666666667",", :0.3933333333333333 AND , :0.6066666666666667"
92,,,,,0.3866666666666666,0.4,0.1,0.0,0.0,1.0,0.0,636001106.0,,0,"Tsking faces pity them their fate., :0.3866666666666666 AND Tsking faces pity them their fate., :0.6133333333333334",", :0.3866666666666666 AND , :0.6133333333333334"
93,,,,,0.38,0.4,0.1,0.0,0.0,1.0,0.0,636001107.0,,0,"Tsking faces pity them their fate., :0.38 AND Tsking faces pity them their fate., :0.62",", :0.38 AND , :0.62"
94,,,,,0.3733333333333333,0.4,0.1,0.0,0.0,1.0,0.0,636001108.0,,0,"Tsking faces pity them their fate., :0.3733333333333333 AND Tsking faces pity them their fate., :0.6266666666666667",", :0.3733333333333333 AND , :0.6266666666666667"
95,,,,,0.3666666666666666,0.4,0.1,0.0,0.0,1.0,0.0,636001109.0,,0,"Tsking faces pity them their fate., :0.3666666666666666 AND Tsking faces pity them their fate., :0.6333333333333334",", :0.3666666666666666 AND , :0.6333333333333334"
96,,,,,0.36,0.4,0.1,0.0,0.0,1.0,0.0,636001110.0,,0,"Tsking faces pity them their fate., :0.36 AND Tsking faces pity them their fate., :0.64",", :0.36 AND , :0.64"
97,,,,,0.3533333333333333,0.4,0.1,0.0,0.0,1.0,0.0,636001111.0,,0,"Tsking faces pity them their fate., :0.3533333333333333 AND Tsking faces pity them their fate., :0.6466666666666667",", :0.3533333333333333 AND , :0.6466666666666667"
98,,,,,0.3466666666666667,0.4,0.1,0.0,0.0,1.0,0.0,636001112.0,,0,"Tsking faces pity them their fate., :0.3466666666666667 AND Tsking faces pity them their fate., :0.6533333333333333",", :0.3466666666666667 AND , :0.6533333333333333"
99,,,,,0.33999999999999997,0.4,0.1,0.0,0.0,1.0,0.0,636001113.0,,0,"Tsking faces pity them their fate., :0.33999999999999997 AND Tsking faces pity them their fate., :0.66",", :0.33999999999999997 AND , :0.66"
100,,,,,0.33333333333333326,0.4,0.1,0.0,0.0,1.0,0.0,636001114.0,,0,"Tsking faces pity them their fate., :0.33333333333333326 AND Tsking faces pity them their fate., :0.6666666666666667",", :0.33333333333333326 AND , :0.6666666666666667"
101,,,,,0.32666666666666666,0.4,0.1,0.0,0.0,1.0,0.0,636001115.0,,0,"Tsking faces pity them their fate., :0.32666666666666666 AND Tsking faces pity them their fate., :0.6733333333333333",", :0.32666666666666666 AND , :0.6733333333333333"
102,,,,,0.31999999999999995,0.4,0.1,0.0,0.0,1.0,0.0,636001116.0,,0,"Tsking faces pity them their fate., :0.31999999999999995 AND Tsking faces pity them their fate., :0.68",", :0.31999999999999995 AND , :0.68"
103,,,,,0.31333333333333324,0.4,0.1,0.0,0.0,1.0,0.0,636001117.0,,0,"Tsking faces pity them their fate., :0.31333333333333324 AND Tsking faces pity them their fate., :0.6866666666666668",", :0.31333333333333324 AND , :0.6866666666666668"
104,,,,,0.30666666666666664,0.4,0.1,0.0,0.0,1.0,0.0,636001118.0,,0,"Tsking faces pity them their fate., :0.30666666666666664 AND Tsking faces pity them their fate., :0.6933333333333334",", :0.30666666666666664 AND , :0.6933333333333334"
105,,,,,0.29999999999999993,0.4,0.1,0.0,0.0,1.0,0.0,636001119.0,,0,"Tsking faces pity them their fate., :0.29999999999999993 AND Tsking faces pity them their fate., :0.7000000000000001",", :0.29999999999999993 AND , :0.7000000000000001"
106,,,,,0.29333333333333333,0.4,0.1,0.0,0.0,1.0,0.0,636001120.0,,0,"Tsking faces pity them their fate., :0.29333333333333333 AND Tsking faces pity them their fate., :0.7066666666666667",", :0.29333333333333333 AND , :0.7066666666666667"
107,,,,,0.2866666666666666,0.4,0.1,0.0,0.0,1.0,0.0,636001121.0,,0,"Tsking faces pity them their fate., :0.2866666666666666 AND Tsking faces pity them their fate., :0.7133333333333334",", :0.2866666666666666 AND , :0.7133333333333334"
108,,,,,0.2799999999999999,0.4,0.1,0.0,0.0,1.0,0.0,636001122.0,,0,"Tsking faces pity them their fate., :0.2799999999999999 AND Tsking faces pity them their fate., :0.7200000000000001",", :0.2799999999999999 AND , :0.7200000000000001"
109,,,,,0.2733333333333333,0.4,0.1,0.0,0.0,1.0,0.0,636001123.0,,0,"Tsking faces pity them their fate., :0.2733333333333333 AND Tsking faces pity them their fate., :0.7266666666666667",", :0.2733333333333333 AND , :0.7266666666666667"
110,,,,,0.2666666666666666,0.4,0.1,0.0,0.0,1.0,0.0,636001124.0,,0,"Tsking faces pity them their fate., :0.2666666666666666 AND Tsking faces pity them their fate., :0.7333333333333334",", :0.2666666666666666 AND , :0.7333333333333334"
111,,,,,0.2599999999999999,0.4,0.1,0.0,0.0,1.0,0.0,636001125.0,,0,"Tsking faces pity them their fate., :0.2599999999999999 AND Tsking faces pity them their fate., :0.7400000000000001",", :0.2599999999999999 AND , :0.7400000000000001"
112,,,,,0.2533333333333333,0.4,0.1,0.0,0.0,1.0,0.0,636001126.0,,0,"Tsking faces pity them their fate., :0.2533333333333333 AND Tsking faces pity them their fate., :0.7466666666666667",", :0.2533333333333333 AND , :0.7466666666666667"
113,,,,,0.2466666666666666,0.4,0.1,0.0,0.0,1.0,0.0,636001127.0,,0,"Tsking faces pity them their fate., :0.2466666666666666 AND Tsking faces pity them their fate., :0.7533333333333334",", :0.2466666666666666 AND , :0.7533333333333334"
114,,,,,0.24,0.4,0.1,0.0,0.0,1.0,0.0,636001128.0,,0,"Tsking faces pity them their fate., :0.24 AND Tsking faces pity them their fate., :0.76",", :0.24 AND , :0.76"
115,,,,,0.23333333333333328,0.4,0.1,0.0,0.0,1.0,0.0,636001129.0,,0,"Tsking faces pity them their fate., :0.23333333333333328 AND Tsking faces pity them their fate., :0.7666666666666667",", :0.23333333333333328 AND , :0.7666666666666667"
116,,,,,0.22666666666666657,0.4,0.1,0.0,0.0,1.0,0.0,636001130.0,,0,"Tsking faces pity them their fate., :0.22666666666666657 AND Tsking faces pity them their fate., :0.7733333333333334",", :0.22666666666666657 AND , :0.7733333333333334"
117,,,,,0.21999999999999997,0.4,0.1,0.0,0.0,1.0,0.0,636001131.0,,0,"Tsking faces pity them their fate., :0.21999999999999997 AND Tsking faces pity them their fate., :0.78",", :0.21999999999999997 AND , :0.78"
118,,,,,0.21333333333333326,0.4,0.1,0.0,0.0,1.0,0.0,636001132.0,,0,"Tsking faces pity them their fate., :0.21333333333333326 AND Tsking faces pity them their fate., :0.7866666666666667",", :0.21333333333333326 AND , :0.7866666666666667"
119,,,,,0.20666666666666667,0.4,0.1,0.0,0.0,1.0,0.0,636001133.0,,0,"Tsking faces pity them their fate., :0.20666666666666667 AND Tsking faces pity them their fate., :0.7933333333333333",", :0.20666666666666667 AND , :0.7933333333333333"
120,,,,,0.19999999999999996,0.4,0.1,0.0,0.0,1.0,0.0,636001134.0,,0,"Tsking faces pity them their fate., :0.19999999999999996 AND Tsking faces pity them their fate., :0.8",", :0.19999999999999996 AND , :0.8"
121,,,,,0.19333333333333325,0.4,0.1,0.0,0.0,1.0,0.0,636001135.0,,0,"Tsking faces pity them their fate., :0.19333333333333325 AND Tsking faces pity them their fate., :0.8066666666666668",", :0.19333333333333325 AND , :0.8066666666666668"
122,,,,,0.18666666666666665,0.4,0.1,0.0,0.0,1.0,0.0,636001136.0,,0,"Tsking faces pity them their fate., :0.18666666666666665 AND Tsking faces pity them their fate., :0.8133333333333334",", :0.18666666666666665 AND , :0.8133333333333334"
123,,,,,0.17999999999999994,0.4,0.1,0.0,0.0,1.0,0.0,636001137.0,,0,"Tsking faces pity them their fate., :0.17999999999999994 AND Tsking faces pity them their fate., :0.8200000000000001",", :0.17999999999999994 AND , :0.8200000000000001"
124,,,,,0.17333333333333323,0.4,0.1,0.0,0.0,1.0,0.0,636001138.0,,0,"Tsking faces pity them their fate., :0.17333333333333323 AND Tsking faces pity them their fate., :0.8266666666666668",", :0.17333333333333323 AND , :0.8266666666666668"
125,,,,,0.16666666666666663,0.4,0.1,0.0,0.0,1.0,0.0,636001139.0,,0,"Tsking faces pity them their fate., :0.16666666666666663 AND Tsking faces pity them their fate., :0.8333333333333334",", :0.16666666666666663 AND , :0.8333333333333334"
126,,,,,0.15999999999999992,0.4,0.1,0.0,0.0,1.0,0.0,636001140.0,,0,"Tsking faces pity them their fate., :0.15999999999999992 AND Tsking faces pity them their fate., :0.8400000000000001",", :0.15999999999999992 AND , :0.8400000000000001"
127,,,,,0.15333333333333332,0.4,0.1,0.0,0.0,1.0,0.0,636001141.0,,0,"Tsking faces pity them their fate., :0.15333333333333332 AND Tsking faces pity them their fate., :0.8466666666666667",", :0.15333333333333332 AND , :0.8466666666666667"
128,,,,,0.1466666666666666,0.4,0.1,0.0,0.0,1.0,0.0,636001142.0,,0,"Tsking faces pity them their fate., :0.1466666666666666 AND Tsking faces pity them their fate., :0.8533333333333334",", :0.1466666666666666 AND , :0.8533333333333334"
129,,,,,0.1399999999999999,0.4,0.1,0.0,0.0,1.0,0.0,636001143.0,,0,"Tsking faces pity them their fate., :0.1399999999999999 AND Tsking faces pity them their fate., :0.8600000000000001",", :0.1399999999999999 AND , :0.8600000000000001"
130,,,,,0.1333333333333333,0.4,0.1,0.0,0.0,1.0,0.0,636001144.0,,0,"Tsking faces pity them their fate., :0.1333333333333333 AND Tsking faces pity them their fate., :0.8666666666666667",", :0.1333333333333333 AND , :0.8666666666666667"
131,,,,,0.1266666666666666,0.4,0.1,0.0,0.0,1.0,0.0,636001145.0,,0,"Tsking faces pity them their fate., :0.1266666666666666 AND Tsking faces pity them their fate., :0.8733333333333334",", :0.1266666666666666 AND , :0.8733333333333334"
132,,,,,0.12,0.4,0.1,0.0,0.0,1.0,0.0,636001146.0,,0,"Tsking faces pity them their fate., :0.12 AND Tsking faces pity them their fate., :0.88",", :0.12 AND , :0.88"
133,,,,,0.11333333333333329,0.4,0.1,0.0,0.0,1.0,0.0,636001147.0,,0,"Tsking faces pity them their fate., :0.11333333333333329 AND Tsking faces pity them their fate., :0.8866666666666667",", :0.11333333333333329 AND , :0.8866666666666667"
134,,,,,0.10666666666666658,0.4,0.1,0.0,0.0,1.0,0.0,636001148.0,,0,"Tsking faces pity them their fate., :0.10666666666666658 AND Tsking faces pity them their fate., :0.8933333333333334",", :0.10666666666666658 AND , :0.8933333333333334"
135,,,,,0.09999999999999998,0.4,0.1,0.0,0.0,1.0,0.0,636001149.0,,0,"Tsking faces pity them their fate., :0.09999999999999998 AND Tsking faces pity them their fate., :0.9",", :0.09999999999999998 AND , :0.9"
136,,,,,0.09333333333333327,0.4,0.1,0.0,0.0,1.0,0.0,636001150.0,,0,"Tsking faces pity them their fate., :0.09333333333333327 AND Tsking faces pity them their fate., :0.9066666666666667",", :0.09333333333333327 AND , :0.9066666666666667"
137,,,,,0.08666666666666656,0.4,0.1,0.0,0.0,1.0,0.0,636001151.0,,0,"Tsking faces pity them their fate., :0.08666666666666656 AND Tsking faces pity them their fate., :0.9133333333333334",", :0.08666666666666656 AND , :0.9133333333333334"
138,,,,,0.07999999999999996,0.4,0.1,0.0,0.0,1.0,0.0,636001152.0,,0,"Tsking faces pity them their fate., :0.07999999999999996 AND Tsking faces pity them their fate., :0.92",", :0.07999999999999996 AND , :0.92"
139,,,,,0.07333333333333325,0.4,0.1,0.0,0.0,1.0,0.0,636001153.0,,0,"Tsking faces pity them their fate., :0.07333333333333325 AND Tsking faces pity them their fate., :0.9266666666666667",", :0.07333333333333325 AND , :0.9266666666666667"
140,,,,,0.06666666666666665,0.4,0.1,0.0,0.0,1.0,0.0,636001154.0,,0,"Tsking faces pity them their fate., :0.06666666666666665 AND Tsking faces pity them their fate., :0.9333333333333333",", :0.06666666666666665 AND , :0.9333333333333333"
141,,,,,0.05999999999999994,0.4,0.1,0.0,0.0,1.0,0.0,636001155.0,,0,"Tsking faces pity them their fate., :0.05999999999999994 AND Tsking faces pity them their fate., :0.9400000000000001",", :0.05999999999999994 AND , :0.9400000000000001"
142,,,,,0.05333333333333323,0.4,0.1,0.0,0.0,1.0,0.0,636001156.0,,0,"Tsking faces pity them their fate., :0.05333333333333323 AND Tsking faces pity them their fate., :0.9466666666666668",", :0.05333333333333323 AND , :0.9466666666666668"
143,,,,,0.046666666666666634,0.4,0.1,0.0,0.0,1.0,0.0,636001157.0,,0,"Tsking faces pity them their fate., :0.046666666666666634 AND Tsking faces pity them their fate., :0.9533333333333334",", :0.046666666666666634 AND , :0.9533333333333334"
144,,,,,0.039999999999999925,0.4,0.1,0.0,0.0,1.0,0.0,636001158.0,,0,"Tsking faces pity them their fate., :0.039999999999999925 AND Tsking faces pity them their fate., :0.9600000000000001",", :0.039999999999999925 AND , :0.9600000000000001"
145,,,,,0.033333333333333326,0.4,0.1,0.0,0.0,1.0,0.0,636001159.0,,0,"Tsking faces pity them their fate., :0.033333333333333326 AND Tsking faces pity them their fate., :0.9666666666666667",", :0.033333333333333326 AND , :0.9666666666666667"
146,,,,,0.026666666666666616,0.4,0.1,0.0,0.0,1.0,0.0,636001160.0,,0,"Tsking faces pity them their fate., :0.026666666666666616 AND Tsking faces pity them their fate., :0.9733333333333334",", :0.026666666666666616 AND , :0.9733333333333334"
147,,,,,0.019999999999999907,0.4,0.1,0.0,0.0,1.0,0.0,636001161.0,,0,"Tsking faces pity them their fate., :0.019999999999999907 AND Tsking faces pity them their fate., :0.9800000000000001",", :0.019999999999999907 AND , :0.9800000000000001"
148,,,,,0.013333333333333308,0.4,0.1,0.0,0.0,1.0,0.0,636001162.0,,0,"Tsking faces pity them their fate., :0.013333333333333308 AND Tsking faces pity them their fate., :0.9866666666666667",", :0.013333333333333308 AND , :0.9866666666666667"
149,,,,,0.006666666666666599,0.4,0.1,0.0,0.0,1.0,0.0,636001163.0,,0,"Tsking faces pity them their fate., :0.006666666666666599 AND Tsking faces pity them their fate., :0.9933333333333334",", :0.006666666666666599 AND , :0.9933333333333334"
150,,,,,0.0,0.4,0.1,0.0,0.0,1.0,0.0,636001164.0,,0,"Tsking faces pity them their fate., :0.0 AND Tsking faces pity them their fate., :1.0",", :0.0 AND , :1.0"
